'  Degree
"  inch
>  MoreThan
<  LessThan
+  Plus
+-  PlusMinus
+ or -  PlusMinus
Plus or -  PlusMinus
+/-  PlusMinus
%  Percent
'F  Farenheit
'C  Celcius
'c  Celcius
m  Meter
mm  MiliMeter
cm  CentiMeter
km  KiloMeter
m2  Meter2
m3  Meter3
mm2  MiliMeter2
km2  KiloMeter2
h  Hour
hr  Hour
x  by
N  Newton
kN  KiloNewton
ft  Feet
L  Liter
g  Gram
kg  KiloGram
g  Gram
W  Watt
V  Volt
kV  KiloVolt
A  Amphere
Amp  Amphere
kA  KiloAmphere
Hz  Hertz
kg/cm2  KiloGram/CentiMeter2
kg/m2  KiloGram/Meter2
mm/kg  MiliMeter/KiloGram
kg/m  KiloGram/Meter
N/mm2  Newton/MiliMeter2
MN/sqm  MegaNewton/Meter2
kgf/mm2  KiloGramForce/MiliMeter2
km/h  KiloMeter/Hour
mg/cm2  MiliGram/CentiMeter2
